Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.05427670702084718,0.062258647701653354,0.05427670702084718,0.05959759280085564,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.05959762603467501,0.06279077129408833,0.05959762603467501,0.061725981533527374,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.061725962033042016,0.06332284016382982,0.061725962033042016,0.06279075145721436,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06279073505567281,0.06332282362330165,0.06066176877437594,0.061193857342004776,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.06119386824012496,0.06172595690251437,0.059597602252956745,0.060129690915346146,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.060129703881447887,0.060129703881447887,0.05800134877294124,0.0585334375500679,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.05853341258237222,0.05959758968269591,0.05587296983156297,0.05693714693188667,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.05693719406614262,0.05693719406614262,0.05480883810358061,0.055340927094221115,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.055340912102589915,0.056405089795589454,0.05480882325609014,0.05640508979558945,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.05640506249287521,0.058533416848650266,0.05587297390393145,0.0580013282597065,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.05800133233486989,0.05906550958752632,0.05800133233486989,0.05906550958752632,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.05906552632719456,0.05906552632719456,0.05746925999581458,0.0585334375500679,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.058533416848650266,0.058533416848650266,0.058001328259706504,0.0580013282597065,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.05800134877294124,0.059597615104321225,0.05800134877294124,0.0585334375500679,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.05906550958752632,0.06066177546651096,0.05906550958752632,0.05906550958752632,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.05906550958752632,0.05959759821385453,0.05906550958752632,0.05906550958752632,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.05906550543759403,0.05959759402653779,0.056937151081818974,0.0580013282597065,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.05800134877294124,0.059597615104321225,0.05800134877294124,0.0585334375500679,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.058533415644853946,0.06012968137885648,0.058533415644853946,0.05959759280085564,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.059597602252956745,0.06066177957773555,0.05853342492817793,0.060129690915346146,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.06066176877437594,0.06225864648804399,0.06066176877437594,0.061193857342004776,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.06119389265881428,0.06225868241937524,0.06119389265881428,0.061725981533527374,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.061725981533527374,0.061725981533527374,0.05959762603467501,0.061725981533527374,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.06172597301928902,0.06438702903693364,0.06119388421797017,0.06385494023561478,31910400,0.0,0.0
1986-04-17 00:00:00-05:00,0.06385492730479425,0.0643870159983635,0.06385492730479425,0.0643870159983635,22003200,0.0,0.0
1986-04-18 00:00:00-05:00,0.0643870309634224,0.0643870309634224,0.06172597486615779,0.06225867569446564,21628800,0.0,0.0
1986-04-21 00:00:00-05:00,0.06225867569446564,0.06279076451170483,0.060661797231679415,0.06225867569446564,22924800,0.0,0.0
1986-04-22 00:00:00-05:00,0.06225864648804399,0.06225864648804399,0.06119385734200477,0.061193857342004776,15552000,0.0,0.0
1986-04-23 00:00:00-05:00,0.061193897750991426,0.061725986669981664,0.060661808832001195,0.06145993992686272,15609600,0.0,0.0
1986-04-24 00:00:00-05:00,0.06145994496837803,0.06864376025883899,0.06119390277068349,0.06757958233356476,62352000,0.0,0.0
1986-04-25 00:00:00-05:00,0.06811164080683033,0.07476336415708876,0.06811164080683033,0.07183687388896942,85795200,0.0,0.0
